code,vi,en,type
# Success Messages
SUCCESS_JOB_CREATE,Đăng tin tuyển dụng thành công,Job posted successfully,success
SUCCESS_JOB_UPDATE,Cập nhật tin tuyển dụng thành công,Job updated successfully,success
SUCCESS_JOB_DELETE,Xóa tin tuyển dụng thành công,Job deleted successfully,success
SUCCESS_JOB_APPROVE,Đã duyệt công việc thành công,Job approved successfully,success
SUCCESS_JOB_REJECT,Đã từ chối công việc thành công,Job rejected successfully,success
SUCCESS_TECH_CREATE,Thêm công nghệ thành công,Technology added successfully,success
SUCCESS_APPLY_JOB,Ứng tuyển thành công,Job application submitted successfully,success
SUCCESS_SAVE_JOB,Lưu tin tuyển dụng thành công,Job saved successfully,success
SUCCESS_JOB_SCHEDULED,Tin tuyển dụng sẽ được đăng vào ngày {date},Job will be posted on {date},success

# Error Messages
ERROR_SERVER,Đã xảy ra lỗi hệ thống,A system error occurred,error
ERROR_NETWORK,Lỗi kết nối mạng,Network connection error,error
ERROR_UNAUTHORIZED,Bạn cần đăng nhập để thực hiện thao tác này,You need to login to perform this action,error
ERROR_FORBIDDEN,Bạn không có quyền thực hiện thao tác này,You don't have permission to perform this action,error
ERROR_NOT_FOUND,Không tìm thấy {resource},{resource} not found,error
ERROR_JOB_CREATE,Đã xảy ra lỗi khi tạo công việc,Error creating job,error
ERROR_JOB_UPDATE,Đã xảy ra lỗi khi cập nhật công việc,Error updating job,error
ERROR_JOB_DETAIL_FETCH,Không thể lấy thông tin chi tiết công việc,Cannot fetch job details,error
ERROR_JOB_STATUS_UPDATE,Không thể cập nhật trạng thái công việc,Cannot update job status,error
ERROR_CV_CREATE,Đã xảy ra lỗi khi tạo hồ sơ,Error creating CV,error
ERROR_CV_UPDATE,Đã xảy ra lỗi khi cập nhật hồ sơ,Error updating CV,error

# Required Field Messages
ERROR_REQUIRED_FIELD,{field} không được để trống,{field} is required,error
ERROR_REQUIRED_CONTACT_ADDRESS,Địa chỉ liên hệ không được để trống,Contact address is required,error
ERROR_REQUIRED_POSTING_DATE,Ngày đăng tin không được để trống,Posting date is required,error
ERROR_REQUIRED_EXPIRATION_DATE,Ngày hết hạn không được để trống,Expiration date is required,error
ERROR_REQUIRED_COMPANY_OVERVIEW,Giới thiệu công ty không được để trống,Company overview is required,error
ERROR_REQUIRED_JOB_LOCATION,Địa điểm làm việc không được để trống,Job location is required,error
ERROR_REQUIRED_JOB_DESCRIPTION,Mô tả công việc không được để trống,Job description is required,error
ERROR_REQUIRED_JOB_REQUIREMENTS,Yêu cầu công việc không được để trống,Job requirements is required,error
ERROR_REQUIRED_BENEFITS,Quyền lợi không được để trống,Benefits is required,error
ERROR_REQUIRED_EDUCATION,Yêu cầu học vấn không được để trống,Education requirement is required,error
ERROR_REQUIRED_JOB_RANK,Cấp bậc công việc không được để trống,Job rank is required,error
ERROR_REQUIRED_JOB_TITLE,Tiêu đề công việc không được để trống,Job title is required,error
ERROR_REQUIRED_COMPANY_NAME,Tên công ty không được để trống,Company name is required,error
ERROR_REQUIRED_COMPANY_WEBSITE,Website công ty không được để trống,Company website is required,error
ERROR_REQUIRED_NUMBER_OF_EMPLOYEES,Số lượng nhân viên không được để trống,Number of employees is required,error
ERROR_REQUIRED_JOB_TYPE,Loại công việc không được để trống,Job type is required,error
ERROR_REQUIRED_CONTACT_PERSON,Người liên hệ không được để trống,Contact person is required,error
ERROR_REQUIRED_CONTACT_PHONE,Số điện thoại liên hệ không được để trống,Contact phone is required,error
ERROR_REQUIRED_CONTACT_EMAIL,Email liên hệ không được để trống,Contact email is required,error
ERROR_REQUIRED_LEVEL,Cấp độ không được để trống,Level is required,error
ERROR_REQUIRED_TECH,Công nghệ không được để trống,Technology is required,error
ERROR_REQUIRED_SALARY,Mức lương không được để trống,Salary is required,error
ERROR_REQUIRED_WEBSITE,Website không được để trống,Website is required,error
ERROR_REQUIRED_EMPLOYEES,Số lượng nhân viên không được để trống,Number of employees is required,error
ERROR_REQUIRED_EDUCATION_LEVEL,Yêu cầu học vấn không được để trống,Education level is required,error
ERROR_REQUIRED_JOB_RANK,Cấp bậc công việc không được để trống,Job rank is required,error
ERROR_REQUIRED_GENDER,Giới tính không được để trống,Gender is required,error
ERROR_REQUIRED_VIEWS,Lượt xem không được để trống,Views is required,error
ERROR_REQUIRED_STATUS,Trạng thái không được để trống,Status is required,error
ERROR_REQUIRED_EMPLOYER_ID,ID nhà tuyển dụng không được để trống,Employer ID is required,error
ERROR_REQUIRED_TECH_IDS,Danh sách công nghệ không được để trống,Technology list is required,error
ERROR_REQUIRED_LEVEL_ID,Cấp độ không được để trống,Level ID is required,error
ERROR_REQUIRED_LEVEL_NAME,Tên cấp độ không được để trống,Level name is required,error

# Validation Messages
ERROR_INVALID_EMAIL,Email không hợp lệ,Invalid email address,error
ERROR_INVALID_PHONE,Số điện thoại không hợp lệ (cần 10-11 số),Invalid phone number (10-11 digits required),error
ERROR_INVALID_DATE,Ngày {field} phải lớn hơn ngày hiện tại,{field} date must be in the future,error
ERROR_MIN_LENGTH,{field} phải có ít nhất {min} ký tự,{field} must be at least {min} characters,error
ERROR_INVALID_RECRUITMENT,Số lượng tuyển dụng phải lớn hơn 0,Number of recruitment must be greater than 0,error
ERROR_POSTING_DATE_FUTURE,Thời gian đăng tin không hợp lệ (trong tương lai),Invalid posting date (in future),error

# Job Violations Messages
